BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
62,1400,5,1.655996
62,1400,6,1.213027
62,1600,1,0.661899
62,1600,2,0.601643
62,1600,3,0.390335
62,1600,4,1.216216
62,1600,5,0.489852
62,1600,6,0.634664
62,1800,1,0.554601
62,1800,2,0.789785
62,1800,3,0.759469
62,1800,4,0.626226
62,1800,5,1.202897
62,1800,6,0.481087
62,2000,1,1.200834
62,2000,2,0.304706
62,2000,3,0.433545
62,2000,4,0.303935
62,2000,5,0.375615
62,2000,6,0.495159
62,2200,1,1.205763
62,2200,2,0.281080
62,2200,3,0.297171
62,2200,4,0.197428
62,2200,5,0.367122
62,2200,6,0.519766
62,2400,1,0.343832
62,2400,2,0.377044
62,2400,3,0.525337
62,2400,4,0.347264
62,2400,5,0.448996
62,2400,6,0.762687
62,2600,1,0.254712
62,2600,2,0.509749
62,2600,3,0.447343
62,2600,4,0.190614
62,2600,5,0.187152
62,2600,6,0.449051
62,2800,1,0.440809
62,2800,2,0.309221
62,2800,3,0.592233
62,2800,4,0.281654
62,2800,5,0.397760
62,2800,6,0.352438
62,3000,1,0.349362
62,3000,2,0.267408
62,3000,3,0.440530
62,3000,4,0.539217
62,3000,5,0.159217
62,3000,6,0.231613
62,3200,1,0.242359
62,3200,2,0.477143
62,3200,3,0.139849
62,3200,4,0.404513
62,3200,5,0.339961
62,3200,6,0.577914
62,3400,1,0.461249
62,3400,2,0.522926
62,3400,3,0.517004
62,3400,4,0.536634
62,3400,5,0.203535
62,3400,6,0.627780
62,3600,1,0.708113
62,3600,2,0.322775
62,3600,3,0.186982
62,3600,4,0.527250
62,3600,5,0.279856
62,3600,6,0.275965
62,3800,1,0.533522
62,3800,2,0.222814
62,3800,3,0.265761
62,3800,4,0.135023
62,3800,5,0.433915
62,3800,6,0.297108
62,4000,1,0.508172
62,4000,2,0.318321
62,4000,3,0.186141
62,4000,4,0.516142
62,4000,5,0.441827
62,4000,6,0.622581
62,4200,1,0.465300
62,4200,2,0.602379
62,4200,3,0.544114
62,4200,4,0.818982
62,4200,5,0.206736
62,4200,6,0.580044
62,4400,1,0.526572
62,4400,2,0.617701
62,4400,3,0.595966
62,4400,4,0.279076
62,4400,5,0.585474
62,4400,6,0.620706
62,4600,1,0.312017
62,4600,2,0.458441
62,4600,3,0.536479
62,4600,4,0.229364
62,4600,5,0.577907
62,4600,6,0.703098
62,4800,1,0.107589
62,4800,2,0.545826
62,4800,3,0.292781
62,4800,4,0.285858
62,4800,5,0.420034
62,4800,6,0.746324
62,5000,1,0.352469
62,5000,2,0.241125
62,5000,3,0.470264
62,5000,4,0.209497
62,5000,5,0.125130
62,5000,6,0.164976
62,5200,1,0.538197
62,5200,2,0.575547
62,5200,3,0.561179
62,5200,4,0.310008
62,5200,5,0.102141
62,5200,6,0.609659
62,5400,1,0.254519
62,5400,2,0.381771
62,5400,3,0.457247
62,5400,4,0.248172
62,5400,5,0.327317
62,5400,6,0.230607
62,5600,1,0.443846
62,5600,2,0.227130
62,5600,3,0.611578
62,5600,4,0.199337
62,5600,5,0.340379
